学科,年份,省份,类型,客观题数,客观缺口,合计缺口,听力题,源文件路径
biology,2016,shanghai,independent,63,24,30,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2016/2016年高考生物试卷（上海）（解析卷）.docx
english,2012,hubei,independent,41,24,24,10,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（湖北）（解析卷）.docx
geography,2008,shandong,independent,23,23,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2008/2008年高考地理试卷（山东）（解析卷）.docx
chemistry,2018,shanghai,independent,31,23,23,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2018/2018年高考化学试卷（上海）（解析卷）.docx
biology,2010,shanghai,independent,27,22,58,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2010/2010年高考生物试卷（上海）（解析卷）.docx
english,2012,jiangsu,independent,50,22,38,18,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（江苏）（解析卷）   .docx
english,2012,sichuan,independent,42,22,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（四川）（解析卷）.docx
english,2013,shaanxi,independent,74,22,33,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2013/2013年高考英语试卷（陕西）（解析卷）.docx
politics,2009,hainan,independent,22,22,28,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2009/2009年高考政治试卷（海南）（解析卷）.docx
chemistry,2016,shanghai,independent,47,22,25,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2016/2016年高考化学试卷（上海）（解析卷）.docx
biology,2015,shanghai,independent,68,22,24,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2015/2015年高考生物试卷（上海）（解析卷）.docx
english,2015,guangdong,independent,22,21,29,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2015/2015年高考英语试卷（广东）（解析卷）.docx
english,2013,guangdong,independent,21,21,25,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2013/2013年高考英语试卷（广东）（解析卷）.docx
chemistry,2008,hainan,independent,23,21,24,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2008/2008年高考化学试卷（海南）（解析卷）.docx
chemistry,2023,shanghai,independent,25,21,24,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2023/2023年高考化学试卷（上海）（解析卷）.docx
chemistry,2022,shanghai,independent,21,21,23,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2022/2022年高考化学试卷（上海）（解析卷）.docx
english,2012,zhejiang,independent,59,21,22,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（浙江）（解析卷）.docx
biology,2022,shanghai,independent,26,21,21,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2022/2022年高考生物试卷（上海）（解析卷）.docx
english,2012,guangdong,independent,21,20,29,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（广东）（解析卷）.docx
english,2010,shandong,independent,55,20,27,19,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2010/2010年高考英语试卷（山东）（解析卷）.docx
geography,2010,hainan,independent,20,20,27,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2010/2010年高考地理试卷（海南）（解析卷）.docx
english,2018,zhejiang,independent,30,20,20,19,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2018/2018年高考英语试卷（浙江）（11月）（解析卷）.docx
chemistry,2010,hainan,independent,34,20,20,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2010/2010年高考化学试卷（海南）（解析卷）.docx
biology,2008,hainan,independent,23,19,28,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2008/2008年高考生物试卷（海南）（解析卷）.docx
history,2019,shanghai,independent,19,19,27,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/history/2019/2019年高考历史试卷（上海）（答案卷）.docx
geography,2012,hainan,independent,19,19,25,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2012/2012年高考地理试卷（海南）（解析卷）.docx
chemistry,2013,shanghai,independent,19,19,20,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2013/2013年高考化学试卷（上海）（解析卷）.docx
chemistry,2015,shanghai,independent,19,18,47,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2015/2015年高考化学试卷（上海）（解析卷）.docx
math,2008,guangdong,independent,18,18,42,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2008/2008年高考数学试卷（文）（广东）（解析卷）.docx
biology,2022,tianjin,independent,18,18,20,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/biology/2022/2022年高考生物试卷（天津）（解析卷）.docx
english,2012,jiangxi,independent,35,18,19,8,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（江西）（解析卷）.docx
english,2012,fujian,independent,30,18,18,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（福建）（解析卷）.docx
english,2008,hunan,independent,54,18,18,19,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2008/2008年高考英语试卷（湖南）（解析卷）.docx
chinese,2011,shanghai,independent,17,17,49,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2011/2011年高考语文试卷（上海）（秋考）（解析卷）.docx
chemistry,2009,guangdong,independent,17,17,26,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2009/2009年高考化学试卷（广东）（解析卷）.docx
math,2020,shandong,new_gaokao_i,26,17,22,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2020/2020年高考数学试卷（新高考Ⅰ卷）（山东）（解析卷）.docx
english,2012,liaoning,independent,27,17,18,7,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（辽宁）（解析卷）.docx
chemistry,2014,shanghai,independent,19,17,17,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2014/2014年高考化学试卷（上海）（解析卷）.docx
math,2008,hainan,independent,28,16,31,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2008/2008年高考数学试卷（文）（新课标）（海南宁夏）（解析卷）.docx
math,2010,jiangsu,independent,16,16,27,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2010/2010年高考数学试卷（江苏）（解析卷）.docx
biology,2013,shanghai,independent,61,16,24,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/biology/2013/2013年高考生物试卷（上海）（解析卷）.docx
history,2008,jiangsu,independent,18,16,20,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2008/2008年高考历史试卷（江苏）（解析卷）.docx
math,2013,guangdong,independent,15,15,27,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2013/2013年高考数学试卷（文）（广东）（解析卷）.docx
math,2020,jiangsu,independent,27,15,25,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2020/2020年高考数学试卷（江苏）（解析卷）.docx
physics,2011,hainan,independent,23,15,24,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/physics/2011/2011年高考物理试卷（海南）（解析卷）.docx
math,2020,tianjin,independent,30,15,23,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2020/2020年高考数学试卷（天津）（解析卷）.docx
politics,2008,shanghai,independent,17,15,21,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2008/2008年高考政治试卷（上海）（解析卷）.docx
history,2023,chongqing,independent,15,15,17,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/history/2023/2023年高考历史试卷（重庆）（解析卷）.docx
chinese,2022,shanghai,independent,14,14,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2022/2022年高考语文试卷（上海）（春考）（解析卷）.docx
english,2009,sichuan,independent,42,14,30,1,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2009/2009年高考英语试卷（四川）（解析卷）.docx
math,2008,liaoning,independent,16,14,25,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2008/2008年高考数学试卷（理）（辽宁）（解析卷）.docx
math,2019,tianjin,independent,28,14,22,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2019/2019年高考数学试卷（文）（天津）（解析卷）.docx
math,2009,jiangsu,independent,14,14,20,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2009/2009年高考数学试卷（江苏）（解析卷）.docx
english,2010,beijing,independent,44,14,15,13,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2010/2010年高考英语试卷（北京）（解析卷）.docx
english,2012,shaanxi,independent,50,14,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2012/2012年高考英语试卷（陕西）（解析卷）.docx
chinese,2019,shanghai,independent,13,13,34,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2019/2019年高考语文试卷（上海）（春考）（解析卷）.docx
chinese,2018,zhejiang,independent,22,13,33,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2018/2018年高考语文试卷（浙江）（解析卷）.docx
chemistry,2011,shanghai,independent,16,13,26,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chemistry/2011/2011年高考化学试卷（上海）（解析卷）.docx
chinese,2011,shandong,independent,13,13,26,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2011/2011年高考语文试卷（山东）（解析卷）.docx
math,2011,tianjin,independent,21,13,21,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/math/2011/2011年高考数学试卷（理）（天津）（解析卷）.docx
math,2008,hunan,independent,18,13,21,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2008/2008年高考数学试卷（文）（湖南）（解析卷） .docx
physics,2023,shanghai,independent,13,13,20,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/physics/2023/2023年高考物理试卷（上海）（解析卷）.docx
english,2012,shandong,independent,14,13,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2012/2012年高考英语试卷（山东）（解析卷）.docx
geography,2008,guangdong,independent,27,13,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2008/2008年高考地理试卷（广东）（解析卷）.docx
chinese,2009,shandong,independent,12,12,33,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2009/2009年高考语文试卷（山东）（解析卷）.docx
math,2009,guangdong,independent,22,12,27,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2009/2009年高考数学试卷（文）（广东）（解析卷）.docx
physics,2022,shanghai,independent,12,12,19,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/physics/2022/2022年高考物理试卷（上海）（解析卷）.docx
chinese,2013,shandong,independent,12,12,19,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2013/2013年高考语文试卷（山东）（解析卷）.docx
geography,2014,shandong,independent,12,12,16,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2014/2014年高考地理试卷（山东）（解析卷）.docx
history,2009,beijing,independent,15,12,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2009/2009年高考历史试卷（北京）（解析卷）.docx
history,2011,beijing,independent,13,12,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2011/2011年高考历史试卷（北京）（解析卷）.docx
english,2015,chongqing,independent,32,12,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/english/2015/2015年高考英语试卷（重庆）（解析卷）.docx
geography,2014,zhejiang,independent,12,12,12,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/geography/2014/2014年高考地理试卷（浙江）（解析卷）.docx
chinese,2008,zhejiang,independent,14,11,35,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2008/2008年高考语文试卷（浙江）（解析卷）.docx
english,2013,jiangsu,independent,39,11,23,16,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2013/2013年高考英语试卷（江苏）（解析卷）   .docx
math,2010,jiangxi,independent,22,11,22,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2010/2010年高考数学试卷（文）（江西）（解析卷）.docx
chinese,2013,anhui,independent,11,11,20,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2013/2013年高考语文试卷（安徽）（解析卷）.docx
math,2011,beijing,independent,11,11,19,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2011/2011年高考数学试卷（文）（北京）（解析卷）.docx
geography,2008,zhejiang,independent,12,11,17,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2008/2008年高考地理试卷（浙江）（解析卷）.docx
chinese,2013,hubei,independent,11,11,16,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2013/2013年高考语文试卷（湖北）（解析卷）.docx
english,2019,jiangsu,independent,51,11,15,20,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2019/2019年高考英语试卷（江苏）（解析卷）   .docx
politics,2019,jiangsu,independent,33,11,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2019/2019年高考政治试卷（江苏）（解析卷）.docx
history,2011,tianjin,independent,11,11,15,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/history/2011/2011年高考历史试卷（天津）（解析卷）.docx
geography,2014,chongqing,independent,11,11,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2014/2014年高考地理试卷（重庆）（解析卷）.docx
geography,2010,beijing,independent,12,11,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2010/2010年高考地理试卷（北京）（解析卷）.docx
geography,2011,beijing,independent,15,11,14,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2011/2011年高考地理试卷（北京）（解析卷）.docx
geography,2010,tianjin,independent,11,11,13,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2010/2010年高考地理试卷（天津）（解析卷）.docx
history,2011,zhejiang,independent,11,11,12,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/history/2011/2011年高考历史试卷（浙江）（解析卷）.docx
geography,2014,anhui,independent,11,11,12,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2014/2014年高考地理试卷（安徽）（解析卷）.docx
politics,2008,tianjin,independent,11,11,12,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/politics/2008/2008年高考政治试卷（天津）（解析卷）.docx
geography,2012,fujian,independent,13,11,11,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/geography/2012/2012年高考地理试卷（福建）（解析卷）.docx
chinese,2011,guangdong,independent,10,10,32,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/chinese/2011/2011年高考语文试卷（广东）（解析卷）.docx
math,2008,tianjin,independent,20,10,30,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/incoming/gaokao/math/2008/2008年高考数学试卷（理）（天津）（解析卷）.docx
english,2014,jiangsu,independent,36,10,29,16,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2014/2014年高考英语试卷（江苏）（解析卷）   .docx
chinese,2010,sichuan,independent,11,10,29,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2010/2010年高考语文试卷（四川）（解析卷）.docx
english,2015,jiangsu,independent,39,10,26,9,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/english/2015/2015年高考英语试卷（江苏）（解析卷）   .docx
math,2015,guangdong,independent,14,10,24,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2015/2015年高考数学试卷（文）（广东）（解析卷）.docx
chinese,2014,guangdong,independent,10,10,22,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2014/2014年高考语文试卷（广东）（解析卷）.docx
chinese,2009,sichuan,independent,10,10,22,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2009/2009年高考语文试卷（四川）（解析卷）.docx
chinese,2011,sichuan,independent,10,10,21,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/chinese/2011/2011年高考语文试卷（四川）（解析卷）.docx
math,2014,guangdong,independent,10,10,21,0,/home/flaskappuser/Desktop/NewDisk_2T/aitutor/database/preflight/qb-extract/docx-cache/gaokao/math/2014/2014年高考数学试卷（文）（广东）（解析卷）.docx
