question_id,question_uid,subject_code,stem_60chars,kp1_id,kp1_name,kp1_sim,kp2_id,kp2_name,kp2_sim,kp3_id,kp3_name,kp3_sim,review_status,review_kp_id,review_kp_name,notes
2065,biology_2015_guangdong_003,biology,19（99.55）,BIO-G0-001,第1章 走近细胞,0.100,BIO-G0-005,第5章 细胞的能量供应和利用,0.100,BIO-G0-007,第1章 遗传因子的发现,0.100,,,,
2070,biology_2015_guangdong_004,biology,44（94.25）[来源:,BIO-G0-002,第2章 组成细胞的分子,0.100,BIO-G0-004,第4章 细胞的物质输入和输出,0.100,BIO-G0-008,第2章 基因和染色体的关系,0.100,,,,
2078,biology_2015_guangdong_007,biology,以下选项正确的是（） 二、双项选择题,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2081,biology_2017_shanghai_001,biology,8,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2088,biology_2017_shanghai_005,biology,为了解某食品样液中的营养成分，对其做出三种规范的鉴定操作，得到相应现象如表1。由此判断该食品样液中至少含有 表1,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2091,biology_2017_shanghai_008,biology,病原微生物的表面抗原是疫苗制备的主要来源，下列构成病原微生物的组分中，最适用来制备疫苗的是,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2092,biology_2017_shanghai_009,biology,皮肤和黏膜能阻挡多种病菌和病毒入侵机体，因此这两者属于机体的 ①特异性免疫 ②先天性免疫 ③非特异性免疫 ④获得性免疫,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2094,biology_2017_shanghai_011,biology,Turner综合征患者的性染色体组成和正常女性的性染色体组成如图4，据图4判断造成Turner综合征患者的染色体畸变类型,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2099,biology_2017_shanghai_016,biology,图9为人体内葡萄糖氧化分解的某一途径，其中①②③表示代谢过程，字母代表物质，据图分析下列表述正确的是,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2100,biology_2017_shanghai_017,biology,某芽孢杆菌只有在含蛋白胨、牛肉膏、氯化钠和微量维生素的培养基中才能生长，此时微量维生素对该菌的培养而言属于,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2110,biology_2017_shanghai_027,biology,（2分）图14中GS神经元膜两侧I、II分别是_________________,BIO-G0-002,第2章 组成细胞的分子,0.167,BIO-G0-008,第2章 基因和染色体的关系,0.167,BIO-G0-015,第2章 动物和人体生命活动的调节,0.167,,,,
2128,biology_2019_shanghai_001,biology,93：1 3：1 叶绿素含量 mg,BIO-G0-001,第1章 走近细胞,0.200,BIO-G0-007,第1章 遗传因子的发现,0.200,BIO-G0-014,第1章 人体的内环境与稳态,0.200,,,,
2141,biology_2019_shanghai_007,biology,人体角膜是一层无血管、无色素并具有丰富神经末梢的结构，若有异物与角膜接触，眼脸就不由自主的合上，在此过程中，感受器是（ ,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2145,biology_2019_shanghai_010,biology,给狗喂食时，一直按铃，如此重复多次。之后，听到铃声，反应刺激是M。如果一直按铃，但是不喂食，一段时间后，听到铃声，反应刺,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2146,biology_2019_shanghai_011,biology,相同温度相同时间内，在X处能收集到的CO2最多的装置是（ ） 甲 乙 丙 丁,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2148,biology_2019_shanghai_013,biology,60* 2 45* *表示与不补光组相比差异显著,BIO-G0-002,第2章 组成细胞的分子,0.125,BIO-G0-006,第6章 细胞的生命历程,0.125,BIO-G0-008,第2章 基因和染色体的关系,0.125,,,,
2153,biology_2019_shanghai_015,biology,眼轴变长会导致近视，根据图8，以下预防近视的做法最合理的是（ ） 图8,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2154,biology_2019_shanghai_016,biology,某人使用外源性生长激素促进肌肉生长，但会导致其自身分泌生长激素减少，引起这种现象的调节方式为（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2156,biology_2019_shanghai_017,biology,03,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2183,biology_2019_shanghai_039,biology,（2分）图15所示第V阶段，抗原蛋白 r和抗r抗体的不同_________ (多选）,BIO-G0-002,第2章 组成细胞的分子,0.222,BIO-G0-008,第2章 基因和染色体的关系,0.222,BIO-G0-015,第2章 动物和人体生命活动的调节,0.222,,,,
2192,biology_2021_shanghai_002,biology,鸭子毛色有黑色、白色等多种，这体现了（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2194,biology_2021_shanghai_003,biology,答题前，考生务必在答题纸上用钢笔或圆珠笔清楚填写姓名、准考证号，并将核对后的条形码贴在指定位置上。,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2196,biology_2021_shanghai_004,biology,“温故知新”的是一种优良的学习品质，关于学习反射的特点正确的是（ ） ①非条件反射 ②条件反射 ③会消退 ④不会消退,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2201,biology_2021_shanghai_008,biology,游客给猴子投喂不含脂肪的香蕉后，导致猴子肥胖，据图分析原因是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2202,biology_2021_shanghai_009,biology,水稻种子萌发时所需能量主要来自（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2203,biology_2021_shanghai_010,biology,狂犬病疫苗的接种需在一定时期内间隔注射三次，其目的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2204,biology_2021_shanghai_011,biology,马拉松运动后大量饮用清水会出现的现象是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2211,biology_2021_shanghai_018,biology,在a、b、c、d条件下，测得酵母菌呼吸时CO2和O2体积变化的相对值如表。若底物是葡萄糖，下列关于d条件的叙述中正确是（,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2221,biology_2021_shanghai_028,biology,（2分）根据CRIA综合征的致病机理分析，Ⅱ-3体内未被切割的RIPK1蛋白：被切 割的RIPKl蛋白比例接近 。,BIO-G0-002,第2章 组成细胞的分子,0.182,BIO-G0-003,第3章 细胞的基本结构,0.182,BIO-G0-008,第2章 基因和染色体的关系,0.182,,,,
2231,biology_2022_hainan_001,biology,脊髓灰质炎病毒已被科学家人工合成。该人工合成病毒能够引发小鼠脊髓灰质炎，但其毒性比天然病毒小得多。下列有关叙述正确的是（,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2236,biology_2022_hainan_006,biology,假性肥大性肌营养不良是伴Ｘ隐性遗传病，该病某家族的遗传系谱如图。下列有关叙述正确的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2237,biology_2022_hainan_007,biology,植物激素和植物生长调节剂可调控植物的生长发育。下列有关叙述错误的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2238,biology_2022_hainan_008,biology,某学者提出，岛屿上的物种数取决于物种迁入和灭亡的动态平衡。图中曲线表示面积大小不同和距离大陆远近不同的岛屿上物种的迁入率,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2242,biology_2022_hainan_012,biology,为探究校内植物园土壤中的细菌种类，某兴趣小组采集园内土壤样本并开展相关实验。下列有关叙述错误的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2244,biology_2022_hainan_014,biology,机体内血糖浓度受多种激素共同调节。某实验小组探究了三种激素单独或联合作用调节血糖的效应，实验前血糖浓度为5.0mmol/,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2260,biology_2023_chongqing_003,biology,分析题图：当a为①、b为⑤，袋内溶液逐渐变为蓝色，说明淀粉不能通过透析袋、碘液可通过透析袋；当a为②、b为③，水浴（55,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2269,biology_2023_chongqing_008,biology,我国学者首次揭示了夜间光照影响血糖代谢的机制。健康受试者于夜间分别在某波长光照和黑暗条件下口服等量葡萄糖，然后在不同时间,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2270,biology_2023_chongqing_009,biology,垃圾分类有利于变废为宝，减少环境污染。如图为分类后餐厨垃圾资源化处理的流程设计。下列叙述错误的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2272,biology_2023_chongqing_011,biology,为研究马铃薯贮藏时间与内源激素含量之间的关系，研究人员测定了马铃薯块茎贮藏期间在不同温度条件下的发芽率（图1），以及20,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2283,biology_2024_zhejiang_001,biology,94 1 胞间CO2浓度 -0.99 -0.98 -0.99 1 叶绿素含量,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2289,biology_2024_zhejiang_002,biology,考生答题前，务必将自己的姓名、准考证号用黑色字迹的签字笔或钢笔填写在答题纸上。,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2291,biology_2024_zhejiang_003,biology,下列不属于水在植物生命活动中作用的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2298,biology_2024_zhejiang_008,biology,某快递小哥跳入冰冷刺骨的河水勇救落水者时，体内会发生系列变化。下列叙述正确的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2302,biology_2024_zhejiang_012,biology,越野跑、马拉松等运动需要大量消耗糖、脂肪、水和无机盐等物质。运动员到达终点时，下列各种激素水平与正常的相比。正确的是（ ,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2306,biology_2024_zhejiang_016,biology,稻苞虫是完全变态发育昆虫。其幼虫主要啃食水稻等植物叶片，成虫主要舔食植物花粉。某稻田发现了稻苞虫的虫情，下列措施既能有效,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2309,biology_2024_zhejiang_019,biology,坐骨神经可以支配包括腓肠肌在内的多块骨骼肌。取坐骨神经腓肠肌标本，将电位表的两个电极置于坐骨神经表面II、III两处，如,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2318,biology_2025_jiangsu_002,biology,该实验的步骤为选材→固定→解离→漂洗→染色→制片。,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2325,biology_2025_jiangsu_005,biology,江苏某地运用生态修复工程技术，将废弃矿区建设成为中国最美的乡村湿地之一。下列相关叙述错误的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2326,biology_2025_jiangsu_006,biology,某同学利用红叶李果实制作果醋，图示其操作的简易流程。下列相关叙述正确的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2331,biology_2025_jiangsu_011,biology,从种植草莓的土壤中分离致病菌，简易流程如下：制备土壤悬液、分离、纯化、鉴定。下列相关叙述正确的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
2338,biology_2025_jiangsu_018,biology,图示部分竹子的进化发展史，其中A~D和H代表不同的染色体组。下列相关叙述正确的有（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
5976,biology_2008_zhejiang_001,biology,为了验证胰岛素具有降低血糖含量的作用，在设计实验时，如果以正常小鼠注射某种药物前后小鼠症 状作为观察指标，则下列对实验组,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
5995,biology_2010_guangdong_004,biology,下列叙述正确的是( D ),BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6002,biology_2011_zhejiang_003,biology,在离体实验条件下单条神经纤维的动作电位示意图如下，下列叙述正确的,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6003,biology_2011_zhejiang_004,biology,与被动免疫相比，下列关于主动免疫的叙述，正确的是,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6009,biology_2014_zhejiang_001,biology,94,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6022,biology_2014_zhejiang_004,biology,下列关于环境容纳量的叙述，正确的是,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6026,biology_2014_zhejiang_007,biology,82,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6031,biology_2014_zhejiang_022,biology,95,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6039,biology_2016_zhejiang_001,biology,A+甲,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6040,biology_2016_zhejiang_002,biology,A+乙,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6042,biology_2016_zhejiang_004,biology,B+甲,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6043,biology_2016_zhejiang_005,biology,B+乙,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6045,biology_2016_zhejiang_007,biology,C+甲,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6046,biology_2016_zhejiang_008,biology,C+乙,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6048,biology_2016_zhejiang_010,biology,（6分）（1）10 3 （2）北极狐和雪鸮 （3）分解者 (b/a)×100% 生产者,BIO-G0-002,第2章 组成细胞的分子,0.133,BIO-G0-003,第3章 细胞的基本结构,0.133,BIO-G0-001,第1章 走近细胞,0.133,,,,
6050,biology_2016_zhejiang_012,biology,（7分）（1）灰身 r （2）BBXrY 5/6 （3）1/3 （4）,BIO-G0-002,第2章 组成细胞的分子,0.095,BIO-G0-003,第3章 细胞的基本结构,0.095,BIO-G0-001,第1章 走近细胞,0.095,,,,
6080,biology_2017_zhejiang_003,biology,非选择题的答案必须使用黑色字迹的签字笔或钢笔写在答题纸上相应区域内，作图时可先用2B铅笔，确定后必须使用黑色字迹的签字笔,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6082,biology_2017_zhejiang_004,biology,下列不属于水体污染防治措施的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6084,biology_2017_zhejiang_006,biology,将云母片插入苗尖端及其下部的不同位置如图所示，给与单侧光照射，下列不发的是发生弯曲生长的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6088,biology_2017_zhejiang_010,biology,"下列关于食物链和食物网的叙述,正确的是（ ）",BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6090,biology_2017_zhejiang_012,biology,"下列关于脂质的叙述,错误的是（ ）",BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6098,biology_2024_anhui_003,biology,82,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6110,biology_2024_anhui_007,biology,人在睡梦中偶尔会出现心跳明显加快、呼吸急促，甚至惊叫。如果此时检测这些人的血液，会发现肾上腺素含量明显升高。下列叙述错误,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6111,biology_2024_anhui_008,biology,羊口疮是由羊口疮病毒（ORFV）感染引起的急性接触性人畜共患传染病，宿主易被ORFV反复感染，影响畜牧业发展，危害人体健,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6112,biology_2024_anhui_009,biology,植物生命活动受植物激素、环境因素等多种因素的调节。下列叙述正确的是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6128,biology_2024_anhui_021,biology,0,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6131,biology_2024_anhui_024,biology,06 917 灌丛,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6132,biology_2024_anhui_025,biology,94,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6133,biology_2024_anhui_026,biology,05,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6158,biology_2024_chongqing_001,biology,6 6 180 15,BIO-G0-006,第6章 细胞的生命历程,0.111,BIO-G0-012,第6章 从杂交育种到基因工程,0.111,BIO-G0-019,第6章 生态环境的保护,0.111,,,,
6183,biology_2024_chongqing_014,biology,养殖场粪便是农家肥的重要来源，其中某些微生物可使氨氮化合物转化为尿素进而产生NH3，影响畜禽健康。为筛选粪便中能利用氨氮,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6191,biology_2024_fujian_001,biology,我国科研团队研制出全球首个以尿液中的抗原为靶标的戊肝诊断试剂盒，该成果属于单克隆抗体在临床上的应用。下列叙述错误的是（ ,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6194,biology_2024_fujian_004,biology,朱鹮是国家一级保护鸟类。我国在朱鹮保护方面取得了重大成就，其数量从1981年的7只增加到现在的11000多只。下列保护措,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6196,biology_2024_fujian_006,biology,成年棘胸蛙存在雄蛙大、雌蛙小的两性异形现象，推测这是雌蛙对雄蛙长期选择的结果。支持该推测的证据是（ ）,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6197,biology_2024_fujian_007,biology,中国水仙是一种三倍体观赏花卉。传统生产采用分球茎繁殖方式，不仅周期长、产率低、花色单调，还易积累病毒。下列措施无法达到改,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6198,biology_2024_fujian_008,biology,橘小实蝇是一种危害柑橘类果树的害虫。研究发现，雄虫能提供底物给直肠中的芽孢杆菌，让芽孢杆菌合成吸引雌虫的信息素。下列叙述,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6211,biology_2024_gansu_001,biology,36 1 S6,BIO-G0-009,第3章 基因的本质,0.143,BIO-G0-003,第3章 细胞的基本结构,0.143,BIO-G0-016,第3章 植物的激素调节,0.143,,,,
6229,biology_2024_gansu_002,biology,82,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6252,biology_2024_gansu_007,biology,03,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6255,biology_2024_gansu_008,biology,08,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6262,biology_2024_gansu_010,biology,88,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6272,biology_2024_gansu_014,biology,土壤镉污染影响粮食生产和食品安全，是人类面临的重要环境问题。种植富集镉的植物可以修复镉污染的土壤。为了筛选这些植物，某科,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6279,biology_2024_gansu_019,biology,0,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6285,biology_2024_gansu_024,biology,98,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
6286,biology_2024_gansu_025,biology,98,BIO-G0-002,第2章 组成细胞的分子,,BIO-G0-003,第3章 细胞的基本结构,,BIO-G0-001,第1章 走近细胞,,,,,
