省份,年份,学科,数学类型,试卷类型,预期目录,预期文件名,预期路径,当前路径
"安徽","2009","政治","","independent","安徽高考","2009年安徽高考政治试卷原卷版.pdf","安徽高考/2009年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2009年北京市高考政治试卷（原卷版）.doc"
"安徽","2010","生物","","independent","安徽高考","2010年安徽高考生物试卷原卷版.pdf","安徽高考/2010年安徽高考生物试卷原卷版.pdf","6. 河南高考生物2008-2025/2010年河南高考生物试卷（原卷版）.pdf"
"安徽","2010","化学","","independent","安徽高考","2010年安徽高考化学试卷原卷版.pdf","安徽高考/2010年安徽高考化学试卷原卷版.pdf","5. 河南高考化学2008-2025/2010年河南高考化学试卷（原卷版）.pdf"
"安徽","2010","地理","","independent","安徽高考","2010年安徽高考地理试卷原卷版.pdf","安徽高考/2010年安徽高考地理试卷原卷版.pdf","9. 河南高考地理2008-2025\2010年高考地理试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2010","历史","","independent","安徽高考","2010年安徽高考历史试卷原卷版.pdf","安徽高考/2010年安徽高考历史试卷原卷版.pdf","7. 河南高考历史2008-2025\2010年高考历史试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2010","文科数学","arts","independent","安徽高考","2010年安徽高考文科数学试卷原卷版.pdf","安徽高考/2010年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2010年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2010","理科数学","science","independent","安徽高考","2010年安徽高考理科数学试卷原卷版.pdf","安徽高考/2010年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2010","物理","","independent","安徽高考","2010年安徽高考物理试卷原卷版.pdf","安徽高考/2010年安徽高考物理试卷原卷版.pdf","4. 河南高考物理2008-2025\2010年高考物理试卷（全国卷Ⅰ）（空白卷）.pdf"
"安徽","2010","政治","","independent","安徽高考","2010年安徽高考政治试卷原卷版.pdf","安徽高考/2010年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2010年北京市高考政治试卷（原卷版）.doc"
"安徽","2011","生物","","independent","安徽高考","2011年安徽高考生物试卷原卷版.pdf","安徽高考/2011年安徽高考生物试卷原卷版.pdf","6. 河南高考生物2008-2025/2011年河南高考生物试卷（原卷版）.pdf"
"安徽","2011","化学","","independent","安徽高考","2011年安徽高考化学试卷原卷版.pdf","安徽高考/2011年安徽高考化学试卷原卷版.pdf","5. 河南高考化学2008-2025\2011年高考化学试卷（新课标）（空白卷）.pdf"
"安徽","2011","地理","","independent","安徽高考","2011年安徽高考地理试卷原卷版.pdf","安徽高考/2011年安徽高考地理试卷原卷版.pdf","9. 河南高考地理2008-2025\2011年高考地理试卷（新课标）（空白卷）.pdf"
"安徽","2011","历史","","independent","安徽高考","2011年安徽高考历史试卷原卷版.pdf","安徽高考/2011年安徽高考历史试卷原卷版.pdf","7. 河南高考历史2008-2025\2011年高考历史试卷（新课标）（空白卷）.pdf"
"安徽","2011","文科数学","arts","independent","安徽高考","2011年安徽高考文科数学试卷原卷版.pdf","安徽高考/2011年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2011年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2011","理科数学","science","independent","安徽高考","2011年安徽高考理科数学试卷原卷版.pdf","安徽高考/2011年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2011","物理","","independent","安徽高考","2011年安徽高考物理试卷原卷版.pdf","安徽高考/2011年安徽高考物理试卷原卷版.pdf","4. 河南高考物理2008-2025\2011年高考物理试卷（新课标）（空白卷）.pdf"
"安徽","2011","政治","","independent","安徽高考","2011年安徽高考政治试卷原卷版.pdf","安徽高考/2011年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2011年北京市高考政治试卷（原卷版）.doc"
"安徽","2012","文科数学","arts","independent","安徽高考","2012年安徽高考文科数学试卷原卷版.pdf","安徽高考/2012年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2012年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2012","理科数学","science","independent","安徽高考","2012年安徽高考理科数学试卷原卷版.pdf","安徽高考/2012年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2012","政治","","independent","安徽高考","2012年安徽高考政治试卷原卷版.pdf","安徽高考/2012年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2012年北京市高考政治试卷（原卷版）.doc"
"安徽","2013","文科数学","arts","independent","安徽高考","2013年安徽高考文科数学试卷原卷版.pdf","安徽高考/2013年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2013年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2013","理科数学","science","independent","安徽高考","2013年安徽高考理科数学试卷原卷版.pdf","安徽高考/2013年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2013","政治","","independent","安徽高考","2013年安徽高考政治试卷原卷版.pdf","安徽高考/2013年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2013年北京市高考政治试卷（原卷版）.doc"
"安徽","2014","文科数学","arts","independent","安徽高考","2014年安徽高考文科数学试卷原卷版.pdf","安徽高考/2014年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2014年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2014","理科数学","science","independent","安徽高考","2014年安徽高考理科数学试卷原卷版.pdf","安徽高考/2014年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2014","政治","","independent","安徽高考","2014年安徽高考政治试卷原卷版.pdf","安徽高考/2014年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2014年北京市高考政治试卷（原卷版）.doc"
"安徽","2015","文科数学","arts","independent","安徽高考","2015年安徽高考文科数学试卷原卷版.pdf","安徽高考/2015年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2015年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2015","理科数学","science","independent","安徽高考","2015年安徽高考理科数学试卷原卷版.pdf","安徽高考/2015年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2015","政治","","independent","安徽高考","2015年安徽高考政治试卷原卷版.pdf","安徽高考/2015年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2015年北京市高考政治试卷（原卷版）.doc"
"安徽","2016","文科数学","arts","national_i","安徽高考","2016年安徽高考文科数学试卷原卷版.pdf","安徽高考/2016年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2016年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2016","理科数学","science","national_i","安徽高考","2016年安徽高考理科数学试卷原卷版.pdf","安徽高考/2016年安徽高考理科数学试卷原卷版.pdf","2. 北京高考数学2008-2025/2016年北京高考数学试卷（理科）（原卷版）.doc"
"安徽","2016","政治","","national_i","安徽高考","2016年安徽高考政治试卷原卷版.pdf","安徽高考/2016年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2016年北京市高考政治试卷（原卷版）.doc"
"安徽","2017","文科数学","arts","national_i","安徽高考","2017年安徽高考文科数学试卷原卷版.pdf","安徽高考/2017年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2017年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2017","理科数学","science","national_i","安徽高考","2017年安徽高考理科数学试卷原卷版.pdf","安徽高考/2017年安徽高考理科数学试卷原卷版.pdf","2. 北京高考数学2008-2025/2017年北京高考数学试卷（理科）（原卷版）.doc"
"安徽","2017","政治","","national_i","安徽高考","2017年安徽高考政治试卷原卷版.pdf","安徽高考/2017年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2017年北京市高考政治试卷（原卷版）.doc"
"安徽","2018","文科数学","arts","national_i","安徽高考","2018年安徽高考文科数学试卷原卷版.pdf","安徽高考/2018年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2018年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2018","理科数学","science","national_i","安徽高考","2018年安徽高考理科数学试卷原卷版.pdf","安徽高考/2018年安徽高考理科数学试卷原卷版.pdf","2. 北京高考数学2008-2025/2018年北京高考数学试卷（理科）（原卷版）.doc"
"安徽","2018","政治","","national_i","安徽高考","2018年安徽高考政治试卷原卷版.pdf","安徽高考/2018年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2018年北京市高考政治试卷（原卷版）.doc"
"安徽","2019","文科数学","arts","national_i","安徽高考","2019年安徽高考文科数学试卷原卷版.pdf","安徽高考/2019年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2019年北京市高考数学试卷（文科）（原卷版）.doc"
"安徽","2019","理科数学","science","national_i","安徽高考","2019年安徽高考理科数学试卷原卷版.pdf","安徽高考/2019年安徽高考理科数学试卷原卷版.pdf","2. 北京高考数学2008-2025/2019年北京高考数学试卷（理科）（原卷版）.doc"
"安徽","2019","政治","","national_i","安徽高考","2019年安徽高考政治试卷原卷版.pdf","安徽高考/2019年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2019年北京市高考政治试卷（原卷版）.doc"
"安徽","2020","文科数学","arts","national_i","安徽高考","2020年安徽高考文科数学试卷原卷版.pdf","安徽高考/2020年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2020年北京市高考数学试卷（原卷版）.doc"
"安徽","2020","理科数学","science","national_i","安徽高考","2020年安徽高考理科数学试卷原卷版.pdf","安徽高考/2020年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2020","政治","","national_i","安徽高考","2020年安徽高考政治试卷原卷版.pdf","安徽高考/2020年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2020年北京市高考政治试卷（原卷版）.doc"
"安徽","2021","文科数学","arts","national_i","安徽高考","2021年安徽高考文科数学试卷原卷版.pdf","安徽高考/2021年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2021年北京市高考数学试卷（原卷版）.docx"
"安徽","2021","理科数学","science","national_i","安徽高考","2021年安徽高考理科数学试卷原卷版.pdf","安徽高考/2021年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2021","政治","","national_i","安徽高考","2021年安徽高考政治试卷原卷版.pdf","安徽高考/2021年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\.cache.2021年北京市高考政治试卷（原卷版）.pdf"
"安徽","2022","文科数学","arts","national_b","安徽高考","2022年安徽高考文科数学试卷原卷版.pdf","安徽高考/2022年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2022年新高考北京数学高考真题（原卷版）.docx"
"安徽","2022","理科数学","science","national_b","安徽高考","2022年安徽高考理科数学试卷原卷版.pdf","安徽高考/2022年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2022","政治","","national_b","安徽高考","2022年安徽高考政治试卷原卷版.pdf","安徽高考/2022年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2022年新高考北京政治高考真题（原卷版）.docx"
"安徽","2023","文科数学","arts","national_b","安徽高考","2023年安徽高考文科数学试卷原卷版.pdf","安徽高考/2023年安徽高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2023年北京高考数学真题（原卷版）.docx"
"安徽","2023","理科数学","science","national_b","安徽高考","2023年安徽高考理科数学试卷原卷版.pdf","安徽高考/2023年安徽高考理科数学试卷原卷版.pdf",""
"安徽","2023","政治","","national_b","安徽高考","2023年安徽高考政治试卷原卷版.pdf","安徽高考/2023年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2023年高考北京政治真题（原卷版）.docx"
"安徽","2024","数学","unified","new_gaokao_i","安徽高考","2024年安徽高考数学试卷原卷版.pdf","安徽高考/2024年安徽高考数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2024年北京高考数学真题（原卷版）.docx"
"安徽","2024","政治","","independent","安徽高考","2024年安徽高考政治试卷原卷版.pdf","安徽高考/2024年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2024年北京高考政治试题（原卷版）.docx"
"安徽","2025","地理","","independent","安徽高考","2025年安徽高考地理试卷原卷版.pdf","安徽高考/2025年安徽高考地理试卷原卷版.pdf","9. 北京高考地理2008-2025\2025年北京高考地理真题（原卷版）.docx"
"安徽","2025","历史","","independent","安徽高考","2025年安徽高考历史试卷原卷版.pdf","安徽高考/2025年安徽高考历史试卷原卷版.pdf","7. 北京高考历史2008-2025\2025年北京高考历史真题（原卷版）.docx"
"安徽","2025","政治","","independent","安徽高考","2025年安徽高考政治试卷原卷版.pdf","安徽高考/2025年安徽高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2025北京高考政治试题（原卷版）.docx"
"北京","2008","政治","","independent","北京高考","2008年北京高考政治试卷原卷版.pdf","北京高考/2008年北京高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2008年高考生物试卷（北京）（空白卷）.doc"
"重庆","2008","生物","","independent","重庆高考","2008年重庆高考生物试卷原卷版.pdf","重庆高考/2008年重庆高考生物试卷原卷版.pdf","6. 黑龙江高考生物2008-2025\2008年高考生物试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2008","化学","","independent","重庆高考","2008年重庆高考化学试卷原卷版.pdf","重庆高考/2008年重庆高考化学试卷原卷版.pdf","5. 黑龙江高考化学2008-2025\2008年高考化学试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2008","地理","","independent","重庆高考","2008年重庆高考地理试卷原卷版.pdf","重庆高考/2008年重庆高考地理试卷原卷版.pdf","9. 黑龙江高考地理2008-2025\2008年高考地理试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2008","历史","","independent","重庆高考","2008年重庆高考历史试卷原卷版.pdf","重庆高考/2008年重庆高考历史试卷原卷版.pdf","7. 黑龙江高考历史2008-2025\2008年高考历史试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2008","文科数学","arts","independent","重庆高考","2008年重庆高考文科数学试卷原卷版.pdf","重庆高考/2008年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2008年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2008","理科数学","science","independent","重庆高考","2008年重庆高考理科数学试卷原卷版.pdf","重庆高考/2008年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2008","物理","","independent","重庆高考","2008年重庆高考物理试卷原卷版.pdf","重庆高考/2008年重庆高考物理试卷原卷版.pdf","4. 黑龙江高考物理2008-2025\2008年高考物理试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2008","政治","","independent","重庆高考","2008年重庆高考政治试卷原卷版.pdf","重庆高考/2008年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2008年高考生物试卷（北京）（空白卷）.doc"
"重庆","2009","生物","","independent","重庆高考","2009年重庆高考生物试卷原卷版.pdf","重庆高考/2009年重庆高考生物试卷原卷版.pdf","6. 黑龙江高考生物2008-2025\2009年高考生物试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2009","化学","","independent","重庆高考","2009年重庆高考化学试卷原卷版.pdf","重庆高考/2009年重庆高考化学试卷原卷版.pdf","5. 黑龙江高考化学2008-2025\2009年高考化学试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2009","地理","","independent","重庆高考","2009年重庆高考地理试卷原卷版.pdf","重庆高考/2009年重庆高考地理试卷原卷版.pdf","9. 黑龙江高考地理2008-2025\2009年高考地理试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2009","历史","","independent","重庆高考","2009年重庆高考历史试卷原卷版.pdf","重庆高考/2009年重庆高考历史试卷原卷版.pdf","7. 黑龙江高考历史2008-2025\2009年高考历史试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2009","文科数学","arts","independent","重庆高考","2009年重庆高考文科数学试卷原卷版.pdf","重庆高考/2009年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2009年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2009","理科数学","science","independent","重庆高考","2009年重庆高考理科数学试卷原卷版.pdf","重庆高考/2009年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2009","物理","","independent","重庆高考","2009年重庆高考物理试卷原卷版.pdf","重庆高考/2009年重庆高考物理试卷原卷版.pdf","4. 黑龙江高考物理2008-2025\2009年高考物理试卷（全国卷Ⅱ）（空白卷）.pdf"
"重庆","2009","政治","","independent","重庆高考","2009年重庆高考政治试卷原卷版.pdf","重庆高考/2009年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2009年北京市高考政治试卷（原卷版）.doc"
"重庆","2010","生物","","independent","重庆高考","2010年重庆高考生物试卷原卷版.pdf","重庆高考/2010年重庆高考生物试卷原卷版.pdf","6. 黑龙江高考生物2008-2025/2010年黑龙江高考生物试卷（原卷版）.pdf"
"重庆","2010","化学","","independent","重庆高考","2010年重庆高考化学试卷原卷版.pdf","重庆高考/2010年重庆高考化学试卷原卷版.pdf","5. 黑龙江高考化学2008-2025\2010年高考化学试卷（新课标）（空白卷）.pdf"
"重庆","2010","地理","","independent","重庆高考","2010年重庆高考地理试卷原卷版.pdf","重庆高考/2010年重庆高考地理试卷原卷版.pdf","9. 黑龙江高考地理2008-2025\2010年高考地理试卷（新课标卷）（空白卷）.pdf"
"重庆","2010","历史","","independent","重庆高考","2010年重庆高考历史试卷原卷版.pdf","重庆高考/2010年重庆高考历史试卷原卷版.pdf","7. 黑龙江高考历史2008-2025\2010年高考历史试卷（新课标）（空白卷）.pdf"
"重庆","2010","文科数学","arts","independent","重庆高考","2010年重庆高考文科数学试卷原卷版.pdf","重庆高考/2010年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2010年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2010","理科数学","science","independent","重庆高考","2010年重庆高考理科数学试卷原卷版.pdf","重庆高考/2010年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2010","物理","","independent","重庆高考","2010年重庆高考物理试卷原卷版.pdf","重庆高考/2010年重庆高考物理试卷原卷版.pdf","4. 黑龙江高考物理2008-2025\2010年高考物理试卷（新课标）（空白卷）.pdf"
"重庆","2010","政治","","independent","重庆高考","2010年重庆高考政治试卷原卷版.pdf","重庆高考/2010年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2010年北京市高考政治试卷（原卷版）.doc"
"重庆","2011","生物","","independent","重庆高考","2011年重庆高考生物试卷原卷版.pdf","重庆高考/2011年重庆高考生物试卷原卷版.pdf","6. 内蒙古高考生物2008-2025/2011年内蒙古高考生物试卷（原卷版）.pdf"
"重庆","2011","化学","","independent","重庆高考","2011年重庆高考化学试卷原卷版.pdf","重庆高考/2011年重庆高考化学试卷原卷版.pdf","5. 内蒙古高考化学2008-2025/2011年内蒙古高考化学试卷（原卷版）.pdf"
"重庆","2011","地理","","independent","重庆高考","2011年重庆高考地理试卷原卷版.pdf","重庆高考/2011年重庆高考地理试卷原卷版.pdf","9. 黑龙江高考地理2008-2025\2011年高考地理试卷（新课标）（空白卷）.pdf"
"重庆","2011","历史","","independent","重庆高考","2011年重庆高考历史试卷原卷版.pdf","重庆高考/2011年重庆高考历史试卷原卷版.pdf","7. 黑龙江高考历史2008-2025\2011年高考历史试卷（新课标）（空白卷）.pdf"
"重庆","2011","文科数学","arts","independent","重庆高考","2011年重庆高考文科数学试卷原卷版.pdf","重庆高考/2011年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2011年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2011","理科数学","science","independent","重庆高考","2011年重庆高考理科数学试卷原卷版.pdf","重庆高考/2011年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2011","物理","","independent","重庆高考","2011年重庆高考物理试卷原卷版.pdf","重庆高考/2011年重庆高考物理试卷原卷版.pdf","4. 内蒙古高考物理2008-2025\2011年高考物理试卷（全国Ⅱ卷，大纲卷）（空白卷）.pdf"
"重庆","2011","政治","","independent","重庆高考","2011年重庆高考政治试卷原卷版.pdf","重庆高考/2011年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2011年北京市高考政治试卷（原卷版）.doc"
"重庆","2012","文科数学","arts","independent","重庆高考","2012年重庆高考文科数学试卷原卷版.pdf","重庆高考/2012年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2012年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2012","理科数学","science","independent","重庆高考","2012年重庆高考理科数学试卷原卷版.pdf","重庆高考/2012年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2012","政治","","independent","重庆高考","2012年重庆高考政治试卷原卷版.pdf","重庆高考/2012年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2012年北京市高考政治试卷（原卷版）.doc"
"重庆","2013","文科数学","arts","independent","重庆高考","2013年重庆高考文科数学试卷原卷版.pdf","重庆高考/2013年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2013年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2013","理科数学","science","independent","重庆高考","2013年重庆高考理科数学试卷原卷版.pdf","重庆高考/2013年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2013","政治","","independent","重庆高考","2013年重庆高考政治试卷原卷版.pdf","重庆高考/2013年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2013年北京市高考政治试卷（原卷版）.doc"
"重庆","2014","文科数学","arts","independent","重庆高考","2014年重庆高考文科数学试卷原卷版.pdf","重庆高考/2014年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2014年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2014","理科数学","science","independent","重庆高考","2014年重庆高考理科数学试卷原卷版.pdf","重庆高考/2014年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2014","政治","","independent","重庆高考","2014年重庆高考政治试卷原卷版.pdf","重庆高考/2014年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2014年北京市高考政治试卷（原卷版）.doc"
"重庆","2015","文科数学","arts","independent","重庆高考","2015年重庆高考文科数学试卷原卷版.pdf","重庆高考/2015年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2015年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2015","理科数学","science","independent","重庆高考","2015年重庆高考理科数学试卷原卷版.pdf","重庆高考/2015年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2015","政治","","independent","重庆高考","2015年重庆高考政治试卷原卷版.pdf","重庆高考/2015年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2015年北京市高考政治试卷（原卷版）.doc"
"重庆","2016","文科数学","arts","independent","重庆高考","2016年重庆高考文科数学试卷原卷版.pdf","重庆高考/2016年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2016年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2016","理科数学","science","independent","重庆高考","2016年重庆高考理科数学试卷原卷版.pdf","重庆高考/2016年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2016","政治","","independent","重庆高考","2016年重庆高考政治试卷原卷版.pdf","重庆高考/2016年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2016年北京市高考政治试卷（原卷版）.doc"
"重庆","2017","文科数学","arts","independent","重庆高考","2017年重庆高考文科数学试卷原卷版.pdf","重庆高考/2017年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2017年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2017","理科数学","science","independent","重庆高考","2017年重庆高考理科数学试卷原卷版.pdf","重庆高考/2017年重庆高考理科数学试卷原卷版.pdf",""
"重庆","2017","政治","","independent","重庆高考","2017年重庆高考政治试卷原卷版.pdf","重庆高考/2017年重庆高考政治试卷原卷版.pdf","8. 北京高考政治2008-2025\2017年北京市高考政治试卷（原卷版）.doc"
"重庆","2018","文科数学","arts","independent","重庆高考","2018年重庆高考文科数学试卷原卷版.pdf","重庆高考/2018年重庆高考文科数学试卷原卷版.pdf","2. 北京高考数学2008-2025\2018年北京市高考数学试卷（文科）（原卷版）.doc"
"重庆","2018","理科数学","science","independent","重庆高考","2018年重庆高考理科数学试卷原卷版.pdf","重庆高考/2018年重庆高考理科数学试卷原卷版.pdf",""
